기기그룹,수집기간,상대적검색량(ratio)
경마,2025-04-07,97.30274
경마,2025-04-14,93.05048
경마,2025-04-21,92.1818
경마,2025-04-28,91.70666
경마,2025-05-05,95.42138
경마,2025-05-12,100.0
경마,2025-05-19,91.42349
경마,2025-05-26,90.07966
경마,2025-06-02,90.92916
경마,2025-06-09,90.87636
경마,2025-06-16,93.7272
경마,2025-06-23,94.09195
경마,2025-06-30,95.09982
경마,2025-07-07,94.00076
경마,2025-07-14,98.61297
경마,2025-07-21,96.54924
경마,2025-07-28,92.40257
경마,2025-08-04,73.29621
경마,2025-08-11,62.93914
경마,2025-08-18,56.29679
경마,2025-08-25,57.7654
경마,2025-09-01,56.89191
경마,2025-09-08,52.26051
경마,2025-09-15,50.54233
경마,2025-09-22,49.64004
경마,2025-09-29,58.42772
경마,2025-10-06,19.5239
경마,2025-10-13,45.63735
경마,2025-10-20,44.28393
경마,2025-10-27,41.83144
경마,2025-11-03,41.19312
경마,2025-11-10,42.42656
경마,2025-11-17,42.97369
경마,2025-11-24,47.84507
경마,2025-12-01,45.21501
경마,2025-12-08,44.87905
경마,2025-12-15,43.77039
경마,2025-12-22,49.83202
경마,2025-12-29,49.42887
경마,2026-01-05,48.04185
경마,2026-01-12,47.02918
경마,2026-01-19,46.31407
경마,2026-01-26,45.89172
경마,2026-02-02,46.29007
경마,2026-02-09,49.39527
경마,2026-02-16,16.69226
경마,2026-02-23,46.95718
경마,2026-03-02,50.96947
경마,2026-03-09,42.01862
경마,2026-03-16,48.49299
경마,2026-03-23,46.74601
경마,2026-03-30,46.54444
경마,2026-04-06,3.00441
