jkName,jkNo,meet,ord1CntT,ord1CntY,ord2CntT,ord2CntY,qnlRateT,qnlRateY,rcCntT,rcCntY,winRateT,winRateY
"가토","080459","서울",11,0,6,0,7.7,0,222,0,5,0
"강경식","080330","서울",92,0,94,0,18.8,0,992,0,9.3,0
"강명준","080123","서울",62,0,85,0,10.2,0,1435,0,4.3,0
"강병은","080050","서울",230,0,236,0,19.9,0,2340,0,9.8,0
"강영준","080077","서울",1,0,2,0,27.3,0,11,0,9.1,0
"강종헌","080370","서울",0,0,3,0,4.4,0,68,0,0,0
"강지웅","080334","서울",2,0,6,0,4,0,202,0,1,0
"강태현","080335","서울",165,0,163,0,18.7,0,1755,0,9.4,0
"게릿","08A053","서울",1,0,2,0,60,0,5,0,20,0
"고성이","080326","서울",91,0,103,0,10,0,1932,0,4.7,0
"고홍석","080115","서울",151,0,188,0,12.4,0,2744,0,5.5,0
"곽영효","080078","서울",141,0,146,0,18.4,0,1557,0,9.1,0
"괘칸","08A062","서울",0,0,0,0,0,0,4,0,0,0
"구은회","080054","서울",155,0,170,0,22.2,0,1463,0,10.6,0
"권석원","080511","서울",38,0,38,0,11.2,0,678,0,5.6,0
"권승주","080070","서울",219,0,221,0,20.6,0,2140,0,10.2,0
"권중석","080618","서울",13,13,12,12,15.5,15.5,161,161,8.1,8.1
"권진환","080318","서울",56,0,59,0,10.7,0,1079,0,5.2,0
"그레고리","080446","서울",1,0,0,0,25,0,4,0,25,0
"김광수","080081","서울",0,0,1,0,11.1,0,9,0,0,0
"김귀배","080014","서울",328,0,326,0,14.3,0,4568,0,7.2,0
"김낙현","080391","서울",6,0,6,0,11.8,0,102,0,5.9,0
"김덕현","080577","서울",54,0,42,0,22.7,0,423,0,12.8,0
"김도중","080545","서울",2,0,13,0,6.9,0,218,0,0.9,0
"김동균","080336","서울",189,0,202,0,15.1,0,2592,0,7.3,0
"김동민","080433","서울",19,0,26,0,10.5,0,429,0,4.4,0
"김동수","080529","서울",322,1,358,8,18.5,15,3669,60,8.8,1.7
"김동철","080030","서울",326,0,336,0,24.4,0,2710,0,12,0
"김동철","080303","서울",231,0,276,0,12.2,0,4167,0,5.5,0
"김명국","080020","서울",722,0,556,0,34.2,0,3736,0,19.3,0
"김명근","080351","서울",36,0,43,0,17.4,0,454,0,7.9,0
"김명주","080008","서울",20,0,26,0,20.8,0,221,0,9,0
"김모근","080065","서울",155,0,174,0,21.6,0,1526,0,10.2,0
"김문갑","080012","서울",481,0,466,0,26.6,0,3564,0,13.5,0
"김민수","080347","서울",20,0,12,0,9.8,0,327,0,6.1,0
"김봉환","080055","서울",54,0,53,0,24.5,0,436,0,12.4,0
"김상식","080007","서울",26,0,14,0,30.8,0,130,0,20,0
"김상환","080059","서울",213,0,216,0,23.8,0,1804,0,11.8,0
"김석봉","080375","서울",69,0,54,0,7.5,0,1648,0,4.2,0
"김성현","080612","서울",33,17,45,15,12.3,11.5,634,279,5.2,6.1
"김성현","080015","서울",316,0,389,0,19.3,0,3649,0,8.7,0
"김아현","080598","서울",49,5,83,3,11.1,7.2,1191,111,4.1,4.5
"김영룡","080068","서울",134,0,145,0,19.1,0,1460,0,9.2,0
"김영주","080117","서울",109,0,105,0,20.1,0,1064,0,10.2,0
"김영진","080360","서울",119,0,128,0,12.3,0,2011,0,5.9,0
"김옥성","080100","서울",561,5,688,8,13.7,8.1,9108,161,6.2,3.1
"김용근","080405","서울",1000,45,828,42,27.7,20.7,6603,420,15.1,10.7
"김용선","080039","서울",350,0,339,0,26.3,0,2624,0,13.3,0
"김윤섭","080116","서울",321,0,305,0,21,0,2974,0,10.8,0
"김인관","080327","서울",19,0,26,0,10.9,0,412,0,4.6,0
"김일주","080114","서울",63,0,68,0,18.2,0,718,0,8.8,0
