age,chaksunT,chaksunY,chaksun_6,debut,hrName,hrNo,meet,name,ord1CntT,ord1CntY,ord2CntT,ord2CntY,qnlRateT,qnlRateY,rcCntT,rcCntY,recentBudam,recentOrd,recentRank,recentRating,recentRcDate,recentRcDist,recentRcName,recentRcNo,recentRcTime,recentWgBudam,recentWgHr,sex,winRateT,winRateY
2,-,-,-,-,가라카이,0058062,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,삼정셰프,0055279,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,사우디삭스,0061530,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,0,0,0,-,내길의원더풀,0053786,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,수,0,0
2,-,-,-,-,사랑과진실,0055290,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,빙고루비,0053384,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,0,0,0,-,빈센트캐시,0052922,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
2,-,-,-,-,네가있어설레,0055396,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,0,0,0,-,빅토리매치,0052991,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,거,0,0
2,-,-,-,-,빅토리라이프,0060800,서울,호주,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,누리돌풍,0053910,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,누리비상,0053579,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,누리여왕,0053539,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,비카델라,0053398,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,누리한빛,0060775,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,뉴발삭스,0055301,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,능력도령,0053964,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
2,-,-,-,-,블리츠카라,0057821,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
1,-,-,-,-,블루호라이즌,0055740,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,0,0,0,-,블루하와이,0053853,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,수,0,0
2,-,-,-,-,다나은퀸,0055551,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,블루밍카라,0053414,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,블루로즈,0053509,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,0,0,0,-,다이내믹포스,0053896,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,수,0,0
3,-,-,-,-,브리도피닉스,0055028,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,0,0,0,-,브리도칸,0053000,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,거,0,0
2,-,-,-,-,샌디윈드,0054184,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,샤이닝윈드,0054183,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,스마트히트,0055808,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,글로벌최강,0055703,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,슈프림다이아,0061573,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,글로벌캐넌,0053919,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,슈퍼마린,0056735,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,소니케이,0054320,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,세종제왕,0061572,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
1,-,-,-,-,세종비상,0061539,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,금성샤이니,0053345,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,세이버스,0053761,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,세명페이커,0055442,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,세명크로우,0054099,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,세광파이브,0061381,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,서부킹,0054064,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,나르리여왕,0052948,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,나르샤루나,0057220,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,나르샤루시,0055280,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,나르샤볼트,0055401,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,나르샤빅터,0055741,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,나르샤스톰,0055501,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,나르샤피네,0055398,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,서부울프,0054065,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,서부여제,0053655,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,0,0,0,-,나스카불청객,0052885,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
1,-,-,-,-,서리풀선샤인,0061533,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,브리도차머,0053242,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,0,0,0,-,브리도에픽,0053821,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
3,-,-,-,-,머니파워,0057302,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
2,-,-,-,-,라스트매치,0054041,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,라스트타이거,0053344,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
1,-,-,-,-,매직터치,0056268,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
4,-,-,-,-,마주할기대,0047234,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
1,-,-,-,-,마이티헝키,0061541,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
1,-,-,-,-,마이티허쉬,0061540,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,마이티하이트,0061542,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,마이티챔프,0053107,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,마이티세이버,0061455,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,마이티뮬란,0055335,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,마이티메르시,0057310,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,마이퀄리티,0061375,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
1,-,-,-,-,마이시티,0061377,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,마이스톰,0055619,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,라이즈파워,0054178,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,마이뮤직,0061376,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
4,-,-,-,-,라이징청수,0050906,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,0,0,0,-,마스크걸,0053879,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
4,-,-,-,-,래피드스톰,0050892,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,루움축제,0056677,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,루비스터,0054086,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
2,-,-,-,-,로열호프케이,0055351,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,로드투챔피언,0057009,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
1,-,-,-,-,레전드몬스터,0056247,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
1,-,-,-,-,메이저퓨리,0055781,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,명글로벌,0053890,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
3,-,-,-,-,브리도글로리,0053473,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,0,0,0,-,뷰티풀리,0053257,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
2,-,-,-,-,불타오르네,0061382,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,대한의영웅,0061569,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,볼스터,0055189,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,벌교아나퍼,0054732,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,벌교시그니처,0053317,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,번개루이스,0053822,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,백산트리,0055724,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,백산레이스,0055487,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,0,0,0,-,밀밭길을,0052959,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
3,-,-,-,-,믿음의질주,0053521,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,0,0,0,-,동진비룡,0054309,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,거,0,0
2,0,0,0,-,미스틱글로,0054211,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
1,-,-,-,-,미스터불스,0056270,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,미스터도르,0051746,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,0,0,0,-,미스퀸,0054475,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
2,-,-,-,-,두움,0055281,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
4,-,-,-,-,미스발레리아,0051503,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,미러클모닝,0055811,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,드래건헌터,0054869,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,모닝벨,0060276,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,명파워풀,0055356,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,드림히로인,0052962,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,명마킹,0053087,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,스위트캐시,0054326,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,거,-,-
2,0,0,0,-,고흥의스타,0053965,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
3,-,-,-,-,그레이참,0052963,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,걸작번개,0055491,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,걸작윤슬,0055193,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,에이케이준,0061610,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,에이스알파,0056116,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
2,-,-,-,-,에어파워,0055211,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,에스파이어,0053417,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,0,0,0,-,어치브사인,0051373,서울,한국,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,암,0,0
2,-,-,-,-,관악산호프,0061456,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
3,-,-,-,-,스파이시제리,0053136,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
2,-,-,-,-,그랜드폭풍,0055300,서울,한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,암,-,-
3,-,-,-,-,스피드길,0057321,서울,미국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수,-,-
