feature,importance
age,6.483924078016571
hr_prev1_rank,5.588461460362204
hr_recent3_avg_rank,5.387067328811409
wgBudam,4.743485186610131
field_size,4.06323069256958
hr_recent5_avg_rank,3.949761049716929
hr_last_rest_days,3.6557120112667256
chulNo_relative,3.62334998883647
hr_tr_cum_top3_rate,3.3007155124872867
hr_cum_top3_rate,2.9043162174739607
jk_cum_top3_rate,2.526519220257014
ow_30d_win_rate,2.4008706960444557
sex_enc,2.384617999773098
jk_cum_starts,2.362909785616842
chulNo,2.221984520221241
tr_cum_win_rate,2.0116592907707123
jk_90d_top3_rate,1.9352880893879711
tr_cum_top3_rate,1.9184310356928815
jk_30d_top3_rate,1.8709254817745629
tr_cum_starts,1.852913524711628
hr_recent3_avg_field_size,1.8016799972933555
tr_90d_top3_rate,1.790982042058256
hr_recent5_top3_rate,1.6280313446502528
jk_cum_win_rate,1.603834172365618
rank_enc,1.5424601003222174
hr_recent1_top3_rate,1.3640342631243716
hr_tr_cum_starts,1.2871162600917843
tr_recent_avg_rank,1.2519244950924762
ow_recent_avg_rank,1.2459285528195319
tr_30d_top3_rate,1.2338147792258365
tr_30d_win_rate,1.2305782831022645
hr_jk_cum_top3_rate,1.2264073215252627
jk_30d_win_rate,1.1688869937067816
hr_jk_cum_win_rate,1.1416805742017462
jk_90d_win_rate,0.9260334269373571
hr_recent3_avg_weight_delta,0.9182155735300053
hr_recent3_top3_rate,0.8342393278442841
tool_count,0.8204143674508972
hrRating,0.8140043858665243
ow_90d_win_rate,0.7646824935661825
tr_90d_win_rate,0.7303185734097597
hr_rank_trend,0.716779462097492
ow_cum_top3_rate,0.703767280423609
rcDist,0.6825716956793679
hr_jk_cum_starts,0.6699177762677555
hr_cum_starts,0.6409011658730212
jk_recent_avg_rank,0.5815804922746055
hr_tr_cum_win_rate,0.5813766829198705
wgJk,0.5722744329046898
hr_recent3_avg_rest_days,0.5615107853439785
hr_cum_win_rate,0.5528205550405132
ow_cum_win_rate,0.5485858694931464
prizeCond_enc,0.5337341312919418
ow_cum_starts,0.45625929141641874
weather_enc,0.4244826997724212
hr_recent1_win_rate,0.3383642405960608
is_missing_horse_weight_current,0.31529580868826423
hr_recent3_win_rate,0.286264252575758
hr_recent5_win_rate,0.2516955605967033
has_tool,0.07040731815793645
track_enc,0.0
