feature,importance
plcOdds,38.42090626149183
winOdds,37.63400417699244
implied_rank_from_win_odds,5.2507909927568965
hr_recent3_top3_rate,1.2626283582857083
jk_30d_top3_rate,1.1013791723499156
jk_cum_win_rate,1.0746327163880633
tr_cum_win_rate,1.0506008204974273
hr_recent3_avg_rank,1.0413007875473077
hr_recent3_avg_weight_delta,0.9316935964797256
wgBudam,0.824034723130267
hr_recent1_top3_rate,0.7996141326948811
tr_30d_win_rate,0.7535386085911996
jk_cum_top3_rate,0.7493997852781097
chulNo_relative,0.7389535294500927
ow_recent_avg_rank,0.700132873384228
hr_tr_cum_win_rate,0.6472554357828315
tr_90d_win_rate,0.5861796875184515
weather_enc,0.5495831571547727
ow_90d_win_rate,0.5176366592172462
hr_cum_starts,0.4913734882801986
jk_recent_avg_rank,0.4791647835763172
jk_90d_top3_rate,0.4775203937291928
hr_cum_top3_rate,0.45090921201049045
hr_tr_cum_top3_rate,0.44269770024630245
hr_recent3_win_rate,0.41763322598771885
hr_recent3_avg_field_size,0.3634890382629566
prizeCond_enc,0.3076535231681001
hr_tr_cum_starts,0.2755506615934442
hr_recent5_avg_rank,0.2578255897805565
hrRating,0.21459421501120668
ow_cum_starts,0.20083676162887745
sex_enc,0.1933808665828603
jk_90d_win_rate,0.1840675519281992
hr_prev1_rank,0.18286051783306514
hr_recent3_avg_rest_days,0.17988524557609512
tr_30d_top3_rate,0.150677131619507
chulNo,0.06662911229933521
age,0.028985505894129834
hr_recent1_win_rate,0.0
hr_recent5_win_rate,0.0
tool_count,0.0
field_size,0.0
wgJk,0.0
has_tool,0.0
track_enc,0.0
rcDist,0.0
rank_enc,0.0
is_missing_horse_weight_current,0.0
hr_cum_win_rate,0.0
hr_last_rest_days,0.0
hr_recent5_top3_rate,0.0
tr_cum_top3_rate,0.0
hr_rank_trend,0.0
jk_cum_starts,0.0
tr_cum_starts,0.0
jk_30d_win_rate,0.0
tr_90d_top3_rate,0.0
hr_jk_cum_starts,0.0
ow_cum_win_rate,0.0
ow_cum_top3_rate,0.0
tr_recent_avg_rank,0.0
ow_30d_win_rate,0.0
hr_jk_cum_win_rate,0.0
hr_jk_cum_top3_rate,0.0
