feature,importance
age,7.541403169210872
wgBudam,4.260866525218103
hr_recent5_avg_rank,3.917678836711822
hr_prev1_rank,3.859443884778987
hr_recent3_avg_rank,3.353949032795662
sex_enc,3.1709802052443856
jk_30d_top3_rate,3.085862155020107
jk_cum_starts,2.7588760141519177
jk_cum_top3_rate,2.669786764041442
tr_cum_starts,2.6629897602168544
tr_recent_avg_rank,2.649516062244242
jk_90d_top3_rate,2.4154614946051445
jk_30d_win_rate,2.41264235460983
tr_cum_top3_rate,2.3797714397483536
chulNo_relative,2.277726609751636
tr_30d_top3_rate,2.0943101558034947
hr_cum_top3_rate,2.072728883785268
hr_recent3_avg_rest_days,1.7981055263942018
ow_recent_avg_rank,1.7805355130378437
tr_cum_win_rate,1.778490259574487
ow_cum_top3_rate,1.7600170657435625
field_size,1.6956230140405988
hr_recent3_avg_field_size,1.6843325083085616
hr_rank_trend,1.666089699811939
prizeCond_enc,1.6237676064467172
hr_tr_cum_top3_rate,1.5801831755066793
jk_recent_avg_rank,1.5358088609144398
tr_90d_win_rate,1.525630797666382
ow_90d_win_rate,1.4999139349968305
tr_90d_top3_rate,1.4901692543299878
jk_90d_win_rate,1.4567416928902808
rcDist,1.4538965345597543
hr_recent1_top3_rate,1.3637228129855388
ow_30d_win_rate,1.3538402229257722
hr_recent5_top3_rate,1.331031694890247
tool_count,1.3000600888526133
weather_enc,1.2582967551954054
chulNo,1.1927454595570288
hr_recent3_avg_weight_delta,1.1155131494777129
hr_recent3_top3_rate,1.0802007092709167
hrRating,0.9706496132164217
tr_30d_win_rate,0.9695271916391566
ow_cum_starts,0.9193233873775075
ow_cum_win_rate,0.879798276107375
hr_jk_cum_win_rate,0.8769942927370427
hr_last_rest_days,0.8555952322856875
hr_tr_cum_starts,0.8504375190494351
jk_cum_win_rate,0.8478350934090951
hr_cum_win_rate,0.73010377952477
hr_jk_cum_starts,0.6633343462328001
hr_jk_cum_top3_rate,0.5825876593610603
hr_recent3_win_rate,0.4440128632134617
is_missing_horse_weight_current,0.43909955898845504
rank_enc,0.42599791594118835
hr_cum_starts,0.3902687368498544
hr_recent5_win_rate,0.3782540792102236
hr_tr_cum_win_rate,0.3746988127707535
hr_recent1_win_rate,0.3270124519083022
wgJk,0.12106365441573987
has_tool,0.04469585044603598
track_enc,0.0
