feature,importance
plcOdds,28.111414563982528
winOdds,26.958842755304126
implied_rank_from_win_odds,12.20591563831118
ow_recent_avg_rank,1.8283189615650404
jk_cum_top3_rate,1.7581529510034684
chulNo_relative,1.7340281597054181
tr_90d_win_rate,1.24242539619682
hr_recent1_top3_rate,1.2294487047673337
tr_cum_win_rate,1.2028823809436653
jk_90d_win_rate,1.1846250310395052
ow_cum_starts,1.059986427894026
sex_enc,1.036110912849234
hr_cum_top3_rate,1.009902686505843
jk_30d_top3_rate,0.9618487211003469
hr_recent5_avg_rank,0.9277849765759068
wgBudam,0.8955413311949079
hr_prev1_rank,0.8783708422143676
hrRating,0.8649086392946058
tr_30d_win_rate,0.8355388860603259
hr_recent3_avg_rank,0.7143973209375477
hr_cum_starts,0.7001052103403049
hr_last_rest_days,0.696285478949287
tr_30d_top3_rate,0.6942782217923517
prizeCond_enc,0.6580340878121258
hr_rank_trend,0.6232457095281007
ow_cum_top3_rate,0.6073046015034426
has_tool,0.6026176758612868
jk_cum_starts,0.6017316951591292
hr_recent3_top3_rate,0.5895626040992198
hr_recent3_avg_field_size,0.5571270116716203
weather_enc,0.5253894988970916
hr_recent3_win_rate,0.5198652289004626
hr_recent1_win_rate,0.5154674824816459
hr_jk_cum_top3_rate,0.49564376419455297
hr_recent3_avg_weight_delta,0.48811852627740604
tr_90d_top3_rate,0.4817395667579066
ow_90d_win_rate,0.4757384860661053
ow_30d_win_rate,0.39676245484254524
hr_recent5_top3_rate,0.3846687906063998
rcDist,0.37773501259528863
hr_tr_cum_win_rate,0.3247624681407261
jk_cum_win_rate,0.3124903531636361
rank_enc,0.30866280168649096
hr_tr_cum_top3_rate,0.27454416820595073
age,0.2506350607246964
hr_jk_cum_starts,0.20232226426266264
field_size,0.1963200408462509
jk_recent_avg_rank,0.18923517355039987
chulNo,0.18509355879641157
tool_count,0.12406771484026495
hr_cum_win_rate,0.0
hr_recent3_avg_rest_days,0.0
track_enc,0.0
wgJk,0.0
hr_recent5_win_rate,0.0
is_missing_horse_weight_current,0.0
tr_cum_starts,0.0
tr_cum_top3_rate,0.0
jk_30d_win_rate,0.0
jk_90d_top3_rate,0.0
tr_recent_avg_rank,0.0
ow_cum_win_rate,0.0
hr_tr_cum_starts,0.0
hr_jk_cum_win_rate,0.0
