feature,importance
hr_tr_cum_top3_rate,545.9893951416016
hr_prev1_rank,512.8700037002563
hr_last_rest_days,439.5420093536377
hr_recent3_avg_rank,339.24950408935547
jk_recent_avg_rank,289.43939876556396
hr_recent5_top3_rate,253.20660209655762
hr_recent1_top3_rate,203.5176010131836
hr_recent3_avg_field_size,202.6844711303711
chulNo_relative,194.93824672698975
jk_cum_starts,177.7837519645691
age,165.77267169952393
jk_30d_win_rate,158.01438093185425
tr_cum_starts,146.96697759628296
jk_cum_top3_rate,145.42006826400757
hr_recent5_avg_rank,137.32669925689697
hr_recent3_avg_weight_delta,137.0624508857727
tr_cum_top3_rate,130.19820022583008
tr_30d_top3_rate,129.97961902618408
ow_cum_starts,117.70165061950684
jk_30d_top3_rate,115.26709985733032
wgBudam,111.88335037231445
tr_recent_avg_rank,109.21675968170166
jk_cum_win_rate,108.45380020141602
hr_tr_cum_starts,106.45220184326172
chulNo,104.71749877929688
hr_recent3_avg_rest_days,102.84730052947998
tr_30d_win_rate,90.65895175933838
ow_recent_avg_rank,51.12201976776123
ow_cum_top3_rate,50.0777006149292
sex_enc,43.74293041229248
rcDist,40.1216983795166
ow_cum_win_rate,38.888559341430664
tr_cum_win_rate,38.729350090026855
hrRating,36.11759948730469
field_size,33.42524003982544
ow_30d_win_rate,29.467799186706543
hr_jk_cum_top3_rate,28.99606943130493
rank_enc,28.734600067138672
hr_rank_trend,22.202499389648438
hr_recent5_win_rate,14.27280044555664
hr_cum_starts,12.320500373840332
hr_jk_cum_starts,11.764900207519531
hr_cum_top3_rate,10.640299797058105
prizeCond_enc,10.329299926757812
wgJk,0.0
hr_recent3_top3_rate,0.0
is_missing_horse_weight_current,0.0
hr_recent1_win_rate,0.0
hr_recent3_win_rate,0.0
has_tool,0.0
tool_count,0.0
track_enc,0.0
weather_enc,0.0
jk_90d_win_rate,0.0
jk_90d_top3_rate,0.0
hr_cum_win_rate,0.0
tr_90d_top3_rate,0.0
tr_90d_win_rate,0.0
ow_90d_win_rate,0.0
hr_jk_cum_win_rate,0.0
hr_tr_cum_win_rate,0.0
