feature,importance
plcOdds,6927.544038295746
hr_last_rest_days,462.0279908180237
jk_recent_avg_rank,328.81266736984253
chulNo_relative,302.76708149909973
tr_recent_avg_rank,281.2102816104889
jk_cum_top3_rate,263.64551162719727
jk_30d_top3_rate,247.2102403640747
hr_recent3_avg_weight_delta,234.05353045463562
tr_cum_starts,233.5830593109131
jk_cum_win_rate,227.87357139587402
ow_cum_top3_rate,202.16577005386353
hr_prev1_rank,202.1375002861023
tr_cum_win_rate,199.401948928833
jk_cum_starts,198.7788791656494
winOdds,182.31764245033264
wgBudam,182.15184116363525
tr_cum_top3_rate,177.4117407798767
hr_recent5_avg_rank,173.85519981384277
ow_recent_avg_rank,171.1377215385437
ow_cum_starts,170.9681911468506
tr_30d_win_rate,164.0611696243286
field_size,151.77866888046265
chulNo,149.56336164474487
jk_30d_win_rate,142.55720043182373
hr_recent3_avg_rank,131.48901891708374
hrRating,131.01337909698486
ow_cum_win_rate,114.04489994049072
tr_30d_top3_rate,109.67102003097534
tool_count,106.86471843719482
hr_tr_cum_starts,103.44749164581299
implied_rank_from_win_odds,86.23150968551636
hr_recent3_avg_rest_days,80.765389919281
hr_recent3_avg_field_size,79.75345993041992
rcDist,78.44384002685547
ow_30d_win_rate,74.51698923110962
rank_enc,66.6299901008606
age,53.11761951446533
hr_cum_starts,51.33132028579712
prizeCond_enc,47.22726058959961
weather_enc,46.462220191955566
hr_rank_trend,44.805800437927246
sex_enc,41.91544008255005
hr_jk_cum_starts,40.74891996383667
wgJk,29.74590015411377
hr_tr_cum_top3_rate,24.81237006187439
hr_cum_win_rate,24.531819343566895
hr_jk_cum_top3_rate,18.456550121307373
hr_recent5_win_rate,7.320459842681885
hr_recent1_win_rate,6.906889915466309
hr_recent5_top3_rate,6.394070148468018
hr_cum_top3_rate,5.89178991317749
is_missing_horse_weight_current,5.566760063171387
hr_tr_cum_win_rate,5.11722993850708
track_enc,0.0
hr_recent3_top3_rate,0.0
has_tool,0.0
hr_recent1_top3_rate,0.0
hr_recent3_win_rate,0.0
jk_90d_win_rate,0.0
jk_90d_top3_rate,0.0
tr_90d_top3_rate,0.0
tr_90d_win_rate,0.0
ow_90d_win_rate,0.0
hr_jk_cum_win_rate,0.0
