column_name,dtype,missing_rate_pct,group,include_in_no_odds_model,include_in_with_odds_model,reason,remarks
entry_id,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
race_id,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
meet,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
rcDate,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
rcNo,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
chulNo,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
hrNo,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
hrName,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
sex,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
age,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
birthday,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
name,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jkNo,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
jkName,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
trNo,str,0.02,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
trName,str,0.02,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
owNo,float64,0.02,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
owName,str,0.02,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
ord,int64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
ordBigo,str,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
diffUnit,str,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
rcTime,float64,0.0,B_누설/제거,N,N,경주 중/후 기록 or 결과 직접 파생,
winOdds,float64,0.0,C_조건부(With-Odds),N,Y,시장배당정보 - With-Odds 전용,
plcOdds,float64,0.0,C_조건부(With-Odds),N,Y,시장배당정보 - With-Odds 전용,
wgBudam,float64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
wgBudamBigo,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
wgHr,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
wgJk,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
hrTool,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
rating,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
rankRise,int64,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
rcDate_dt,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
track_condition_text,str,0.0,A_안전사전정보,Y,Y,출전 전 알 수 있는 정보,
track_moisture_pct,float64,100.0,B_누설/제거,N,N,100% 결측,
